you dont have to say a thing you dont have to share the pain id bring and i dont need to see through walls when the metadata says it all  postin pictures smiles and beaches tennis shoes and matching tshirts its out of my hands but its in my phone when the metadata says it all  faith in timing some go your way and others stay in place ill be fighting pain and the patience pain and the patience  what more can i do now but hold on strong take it day by day its all your call i know silence when its standing tall and the metadata says it all  faith in timing some go your way and others stay in place ill be fighting pain and the patience pain and the patience pain and the patience pain and the patience,metadata
 i took the supermarket flowers from the windowsill i threw the day old tea from the cup packed up the photo album matthew had made memories of a life thats been loved took the get well soon cards and stuffed animals poured the old ginger beer down the sink dad always told me dont you cry when youre down but mum theres a tear every time that i blink   oh im in pieces its tearing me up but i know a heart thats broke is a heart thats been loved   so ill sing hallelujah you were an angel in the shape of my mum when i fell down youd be there holding me up spread your wings as you go when god takes you back hell say hallelujah youre home   i fluffed the pillows made the beds stacked the chairs up folded your nightgowns neatly in a case john says hed drive then put his hand on my cheek and wiped a tear from the side of my face   i hope that i see the world as you did cause i know a life with love is a life thats been lived   so ill sing hallelujah you were an angel in the shape of my mum when i fell down youd be there holding me up spread your wings as you go when god takes you back hell say hallelujah youre home   hallelujah you were an angel in the shape of my mum you got to see the person i have become spread your wings and i know that when god took you back he said hallelujah youre home,supermarket flowers
 across the sea by the tennessee skyline they told me id find my hopes and my dreams but i long to be in the bed of my true love back where i came from shes waiting for me   so ill make my way through long winding country roads but my heart still beats for my home and my english rose    i told my dad on the phone its amazing from the straight to the craziest places ive seen but i long to be in the arms of my true love like he loves my mother he understands me   i spend my days just traveling and playing shows but my heart still beats for my home and my english rose   i met a man in the bar down in memphis he told me he went there to follow his dreams he told me son you know i lost my true love for the same exact reason that you crossed the sea   and i found truth in people i barely know but my heart still beats for my home and my english rose   oh my heart still beats for my home and my english rose oh my heart still beats for my home and my english rose,english rose
 star sign gemini brown eyes fair hair in the light we called time last night and i cant stop thinkin bout her   and her lips upon mine so soft feelings i dont know the name of under the clothes we take off used to be two hearts in love   oh why oh why am i alone did i did i do something wrong am i the reason or have you found someone else so tell me girl   how can i live without love how can i be what you want cause when the morning comes around youre still gone and ill say how can i see through the dark all i can do is wonder where you are are you happy in someone elses arms well thats the way to break my   heart thats the way to break my heart thats the way to break my heart thats the way to break my heart thats the way to break my—   first love never dies guess ill see you in another life 12 years down the line theres just one thing i remember   her lips upon mine so soft feelings i dont know the name of under the clothes we take off used to be two hearts in love   oh why oh why am i alone did i did i do something wrong am i the reason or have you found someone else so tell me girl   how can i live without love how can i be what you want cause when the morning comes around youre still gone and ill say how can i see through the dark all i can do is wonder where you are are you happy in someone elses arms well thats the way to break my   heart thats the way to break my heart thats the way to break my heart thats the way to break my heart thats the way to break my—   thats the— thats the— thats the— did i did i thats the— thats the— thats the way to break my—,way to break my heart
 only a nascent trying to harness huge fire out on the beach in the darkness starting bonfire so gorgeous a man might cry burning trees in the basement start a cool fire feel my heartbeat racing baby youre on fire so gorgeous a man might cry  back in paris you told me you were suicidal its not a vacation if i lose you to the eiffel youre gorgeous but you cant fly a hidden admirer sent me roses white as fire we took our handfuls it was war flower fighter   wildfire wildfire wildfire wildfire,wildfire interlude
 the club isnt the best place to find a lover so the bar is where i go me and my friends at the table doing shots drinking fast and then we talk slow and you come over and start up a conversation with just me and trust me ill give it a chance now take my hand stop put van the man on the jukebox and then we start to dance and now im singing like   girl you know i want your love your love was handmade for somebody like me come on now follow my lead i may be crazy dont mind me say boy lets not talk too much grab on my waist and put that body on me come on now follow my lead come come on now follow my lead   im in love with the shape of you we push and pull like a magnet do although my heart is falling too im in love with your body and last night you were in my room and now my bed sheets smell like you every day discovering something brand new im in love with your body oh—i—oh—i—oh—i—oh—i im in love with your body oh—i—oh—i—oh—i—oh—i im in love with your body oh—i—oh—i—oh—i—oh—i im in love with your body every day discovering something brand new im in love with the shape of you   one week in we let the story begin were going out on our first date you and me are thrifty so go all you can eat fill up your bag and i fill up a plate we talk for hours and hours about the sweet and the sour and how your family is doing okay leave and get in a taxi then kiss in the backseat tell the driver make the radio play and im singing like   girl you know i want your love your love was handmade for somebody like me come on now follow my lead i may be crazy dont mind me say boy lets not talk too much grab on my waist and put that body on me come on now follow my lead come come on now follow my lead   im in love with the shape of you we push and pull like a magnet do although my heart is falling too im in love with your body and last night you were in my room and now my bed sheets smell like you every day discovering something brand new im in love with your body oh—i—oh—i—oh—i—oh—i im in love with your body oh—i—oh—i—oh—i—oh—i im in love with your body oh—i—oh—i—oh—i—oh—i im in love with your body every day discovering something brand new im in love with the shape of you   come on be my baby come on come on be my baby come on come on be my baby come on come on be my baby come on come on be my baby come on come on be my baby come on come on be my baby come on come on be my baby come on   im in love with the shape of you we push and pull like a magnet do although my heart is falling too im in love with your body last night you were in my room and now my bed sheets smell like you every day discovering something brand new im in love with your body come on be my baby come on come on be my baby come on im in love with your body come on be my baby come on come on be my baby come on im in love with your body come on be my baby come on come on be my baby come on im in love with your body every day discovering something brand new im in love with the shape of you,shape of you
 its a friday we finally made it i cant believe i get to see your face youve been working and ive been waiting to pick you up and take you from this place   love on the weekend love on the weekend like only we can like only we can love on the weekend love on the weekend im coming up and im loving every minute of it   you be the dj ill be the driver you put your feet up in the getaway car im flying fast like a a wanted man i want you baby like you cant understand   oh love on the weekend love on the weekend we found a message in a bottle we were drinking love on the weekend love on the weekend i hate your guts cause im loving every minute of it  oh oh oh oh oh oh oh   i gotta leave ya its gonna hurt me my clothes are dirty and my friends are getting worried down there below us under the clouds baby take my hand and pull me down down down down and ill be dreamin of the next time we can go into another serotonin overflow   love on the weekend love on the weekend im busted up but im loving every minute of it love on the weekend love on the weekend   im looking for a little love im looking for a little love oh yeah love on the weekend love on the weekend love on the weekend,love on the weekend
 on my way and i had to lie hows it going; im doing fine and im on my way home im on my way home   heres a friend that you cant ignore fight breaks out then im out the door and im on my way home im on my way home   oh no its in your eyes youll never be the same but im on my way home yes im on my way home yes im on my way home   up for show then the stage went black lit the joint then i hit the sack and im on my way home im on my way home   caught the flight and i lost my name transatlantic i hope today that im on my way home im on my way home   oh no its in your eyes youll never be the same but im on my way home yes im on my way home yes im on my way home   here we stand in the customs line he says youre packing; ill pull you back and im on my way home im on my way home   detained now and im feeling low hoping some day theyll let me go and im on my way home im on my way home   oh no its in your eyes youll never be the same but im on my way home yes im on my way home yes im on my way home,on my way home
 tryin hard to recognise some pure motive inside of me a creature that would horrify any child that i used to be oh give no faith to show started to smile so i showed my teeth no more than flesh and bone doin so much just to watch someone bleed   but i love the very blood of you it keeps its heat in spite of you oh the heart that beats to keep you here with me always   tryin hard i nearly find innocence in spite of me oh creature that would terrify any child left inside of me oh thats a cold insight nothin above us and nothin below ahh but you might be right if there is no heaven and there is no soul   i just love the very blood of you it keeps its heat in spite of you oh the heart that beats to keep you here with me always always always always oh i love the very blood of you it keeps its heat in spite of you oh the heart that beats to keep you here with me always oh i love the very blood of you leaks and squeeks you black and blue oh the heart that beats to keep you here with me always,blood
 lets forget whatever we lost rolling around in the weeds finding ourselves broken looking for light on the floor   lets become the lovers we want banging our heads in the fog flowers will close and open life going by like we care   one day its whatever we made whatever we made from pieces off the side of a road whatever we made marked on our map of what hurts and what hurts worse   lets become the lovers we need who knew wed be needing so much we keep finding ourselves broken tossed in the yard with the bones  and lets forget whatever we know knowing all too little too late laying down in our own horizon letting that water hit home   lets become the lovers we want lets become the lovers we want lets become the lovers we need lets become the lovers we need lets become the lovers we want lets become the lovers we want lets become the lovers we need lets become the lovers we need,what hurts worse
 when can we talk with a face instead of using all these strange devices seems like you and i need to have a crazy conversation   wouldnt be that hard get along so well sentence by sentence its a trial run let me show you how figure i can give you true affection   true affection true affection oh oh true affection true affection oh oh     when can we talk with a face instead of using all these strange devices true affection seems like you and i need to have a crazy conversation true affection when can we talk with a face figure i can give you true affection true affection seems like you and i need to have a crazy conversation true affection when can we talk with a face figure i can give you true affection,true affection
 slow dancing at low tide low tide drawn to move by the moon by the moon   and i see the seat next to yours is unoccupied and i was wondering if youd let me come and sit by your side ive got plenty of affection id be glad to show you some time   slow motion in double time double time you are all i cant deny   and i see the seat next to yours is unoccupied and i was wondering if youd let me come and sit by your side ive got plenty of affection id be glad to show you some time   what am i supposed to do with you in the room what am i supposed to say with your green eyes on my red face with your green eyes on my red face,green eyes red face
 well she wore you like silk bandaged all around the scars of your love became your hollow crown and she held you through the night and kissed you through the cold blinded by your light just waiting to grow old   she said love id give you everything id give you everything that you need oh love well id do anything and id do anything to be seen   so when you packed all of your bags and left without a word well the voices in her head were begging to be heard so she wept all through the night and slept all through the day cause her lonely lonely heart was caught in every trap you laid   and she said love id give you everything id give you everything that you need oh love well id do anything yes id do anything to be seen   why did we break down why did we break down was it just cause we werent ready why did we break down why did we break down was i vulnerable or too unsteady  and why did we break down and why did we break down was it just cause we werent ready and why did we break down and why did we break down was i too vulnerable or too unsteady   oh love i gave you everything i gave you everything that you need oh love well id do anything yes id do anything to be free to be free to be free,​hollow crown
